"Category","air temp","ground temp"
0,0,0
1,20,20
2,20,20
3,20,20
4,20,20
5,20,20
6,20,20
7,20,20
8,20,20
9,20,20
10,20,20
11,20,20
12,20,20
13,20,20
14,20,20
15,20,20
16,20,20
17,20.12820512820514,20
18,20.12820512820514,20
19,20.256410256410277,20.23809523809524
20,20.512820512820497,20.23809523809524
21,20.641025641025635,20.23809523809524
22,20.897435897435912,20.23809523809524
23,21.28205128205127,20.23809523809524
24,21.28205128205127,20.23809523809524
25,21.538461538461547,20.23809523809524
26,21.666666666666686,20.23809523809524
27,21.666666666666686,20.23809523809524
28,22.179487179487182,20.23809523809524
29,22.43589743589746,20.23809523809524
30,22.179487179487182,20.23809523809524
31,22.69230769230768,20
32,22.56410256410254,20
33,22.820512820512818,20
34,22.820512820512818,20.47619047619048
35,22.820512820512818,20.952380952380963
36,23.076923076923094,20.952380952380963
37,22.948717948717956,21.190476190476204
38,23.076923076923094,20.952380952380963
39,23.461538461538453,21.190476190476204
40,23.846153846153868,21.190476190476204
41,23.97435897435895,22.142857142857167
42,24.102564102564088,22.857142857142833
43,23.58974358974359,23.333333333333314
44,23.461538461538453,23.571428571428555
45,23.58974358974359,24.047619047619037
46,23.846153846153868,24.285714285714278
47,23.97435897435895,24.52380952380952
48,24.487179487179503,25
49,24.487179487179503,25.23809523809524
50,24.487179487179503,25
51,24.487179487179503,25.23809523809524
52,24.87179487179486,25.23809523809524
53,24.87179487179486,25.952380952380963
54,25.12820512820514,25.47619047619048
55,25.12820512820514,25.47619047619048
56,25.512820512820497,25.714285714285722
57,25.897435897435912,25
58,26.02564102564105,24.76190476190476
59,26.28205128205127,25.23809523809524
60,25.512820512820497,25.714285714285722
61,25.897435897435912,26.190476190476204
62,25,26.428571428571445
63,25.12820512820514,25.952380952380963
64,25.512820512820497,26.190476190476204
65,25.12820512820514,25.47619047619048
66,24.358974358974365,25.714285714285722
67,24.230769230769226,25.714285714285722
68,24.102564102564088,25.714285714285722
69,24.358974358974365,25.47619047619048
70,24.61538461538464,25.952380952380963
71,25.12820512820514,25.952380952380963
72,24.61538461538464,25.714285714285722
73,24.743589743589723,25.714285714285722
74,23.846153846153868,25.714285714285722
75,24.102564102564088,25.47619047619048
76,24.61538461538464,24.76190476190476
77,24.102564102564088,24.52380952380952
78,24.61538461538464,25
79,24.87179487179486,24.52380952380952
80,24.487179487179503,24.285714285714278
81,24.87179487179486,24.76190476190476
82,24.87179487179486,24.047619047619037
83,25,24.285714285714278
84,25.512820512820497,24.047619047619037
85,25.12820512820514,24.047619047619037
86,25,24.285714285714278
87,25.12820512820514,24.76190476190476
88,25,24.52380952380952
89,24.61538461538464,24.76190476190476
90,24.743589743589723,25
91,24.87179487179486,24.76190476190476
92,24.87179487179486,25
93,25.12820512820514,24.76190476190476
94,25.256410256410277,24.76190476190476
95,25.12820512820514,24.52380952380952
96,25.38461538461536,25
97,25.512820512820497,25.47619047619048
98,25.512820512820497,24.76190476190476
99,25.641025641025635,24.52380952380952
100,25.897435897435912,24.285714285714278
101,26.02564102564105,23.809523809523796
102,24.87179487179486,24.285714285714278
103,25,24.76190476190476
104,25.12820512820514,24.52380952380952
105,24.87179487179486,24.285714285714278
106,24.87179487179486,24.285714285714278
107,24.61538461538464,24.52380952380952
108,24.87179487179486,24.76190476190476
109,24.487179487179503,25
110,24.487179487179503,25.23809523809524
111,24.487179487179503,25.23809523809524
112,24.230769230769226,25.47619047619048
113,24.487179487179503,26.190476190476204
114,24.230769230769226,25.952380952380963
115,24.230769230769226,26.666666666666686
116,24.358974358974365,26.428571428571445
117,24.487179487179503,26.666666666666686
118,24.487179487179503,26.666666666666686
119,25,27.380952380952408
120,24.743589743589723,27.142857142857167
121,25.12820512820514,27.380952380952408
122,24.61538461538464,27.619047619047592
123,24.743589743589723,27.142857142857167
124,24.61538461538464,27.619047619047592
125,24.87179487179486,28.095238095238074
126,24.487179487179503,27.857142857142833
127,24.358974358974365,27.142857142857167
128,24.61538461538464,27.142857142857167
129,24.230769230769226,26.666666666666686
130,24.230769230769226,26.666666666666686
131,24.230769230769226,26.666666666666686
132,23.846153846153868,26.190476190476204
133,24.358974358974365,25.714285714285722
134,24.358974358974365,25.714285714285722
135,24.87179487179486,24.76190476190476
136,24.61538461538464,25
137,25.256410256410277,25.47619047619048
138,25.256410256410277,25.47619047619048
139,25.38461538461536,25.23809523809524
140,25.256410256410277,25.47619047619048
141,25,25.23809523809524
142,25.12820512820514,25.47619047619048
143,25,25.47619047619048
144,25,25.952380952380963
145,25.38461538461536,25.23809523809524
146,25.512820512820497,26.190476190476204
147,25.256410256410277,25.714285714285722
148,25.12820512820514,25.23809523809524
149,25.12820512820514,25
150,25,25.952380952380963
151,25.256410256410277,25.47619047619048
152,25.512820512820497,25.952380952380963
153,26.02564102564105,25.714285714285722
154,26.02564102564105,25.714285714285722
155,26.153846153846132,25.23809523809524
156,26.666666666666686,24.285714285714278
157,26.666666666666686,24.047619047619037
158,27.051282051282044,23.809523809523796
159,27.179487179487182,23.809523809523796
160,27.179487179487182,23.333333333333314
161,26.28205128205127,23.333333333333314
162,26.666666666666686,22.142857142857167
163,25.641025641025635,22.380952380952408
164,26.28205128205127,22.619047619047592
165,25.897435897435912,22.142857142857167
166,25.641025641025635,22.857142857142833
