"Category","air temp","ground temp"
0,4.0,0.0
1,24.0,20.0
2,24.0,20.0
3,24.0,20.0
4,24.0,20.0
5,24.0,20.0
6,24.0,20.0
7,24.0,20.0
8,24.0,20.0
9,24.0,20.0
10,24.0,20.0
11,24.0,20.0
12,24.0,20.0
13,24.0,20.0
14,24.0,20.0
15,24.0,20.0
16,24.0,20.0
17,24.083333333333300,20.0
18,24.16666666666670,20.0
19,24.41666666666670,20.0
20,24.66666666666670,20.0
21,24.91666666666670,20.0
22,25.16666666666670,20.0
23,25.333333333333300,20.0
24,25.66666666666670,20.0
25,25.66666666666670,20.0
26,25.91666666666670,20.0
27,25.75,20.0
28,25.91666666666670,20.0
29,26.083333333333300,20.0
30,26.083333333333300,20.0
31,26.16666666666670,20.0
32,26.25,20.0
33,26.583333333333300,20.0
34,26.583333333333300,20.23809523809520
35,26.833333333333300,20.23809523809520
36,26.75,20.23809523809520
37,26.66666666666670,20.47619047619050
38,26.66666666666670,20.47619047619050
39,26.833333333333300,20.71428571428570
40,26.583333333333300,21.190476190476200
41,26.66666666666670,21.190476190476200
42,26.5,21.66666666666670
43,26.66666666666670,21.66666666666670
44,27.083333333333300,22.380952380952400
45,27.333333333333300,22.380952380952400
46,27.083333333333300,22.380952380952400
47,26.91666666666670,22.142857142857200
48,27.083333333333300,22.142857142857200
49,27.16666666666670,22.85714285714280
50,27.333333333333300,23.09523809523810
51,27.333333333333300,23.09523809523810
52,27.41666666666670,22.619047619047600
53,27.25,23.09523809523810
54,27.333333333333300,23.333333333333300
55,27.083333333333300,23.333333333333300
56,27.25,23.333333333333300
57,27.16666666666670,23.333333333333300
58,27.41666666666670,23.333333333333300
59,27.833333333333300,23.571428571428600
60,28.083333333333300,23.8095238095238
61,28.083333333333300,23.8095238095238
62,28.0,23.8095238095238
63,28.16666666666670,23.8095238095238
64,28.0,24.04761904761900
65,27.91666666666670,24.28571428571430
66,28.16666666666670,24.28571428571430
67,28.333333333333300,24.52380952380950
68,28.333333333333300,24.28571428571430
69,28.083333333333300,25.0
70,28.25,25.23809523809520
71,28.41666666666670,25.47619047619050
72,28.16666666666670,25.71428571428570
73,28.5,25.71428571428570
74,28.5,25.952380952381000
75,28.083333333333300,25.952380952381000
76,27.91666666666670,25.952380952381000
77,27.833333333333300,25.952380952381000
78,28.0,25.952380952381000
79,28.25,25.952380952381000
80,28.41666666666670,26.190476190476200
81,28.41666666666670,26.428571428571400
82,28.16666666666670,26.66666666666670
83,28.41666666666670,27.142857142857200
84,28.5,27.142857142857200
85,28.5,26.904761904761900
86,28.41666666666670,26.428571428571400
87,28.583333333333300,26.66666666666670
88,28.5,26.904761904761900
89,28.41666666666670,26.66666666666670
90,28.66666666666670,26.66666666666670
91,28.91666666666670,26.66666666666670
92,28.833333333333300,26.904761904761900
93,28.91666666666670,26.66666666666670
94,29.0,26.428571428571400
95,28.91666666666670,26.428571428571400
96,28.91666666666670,26.428571428571400
97,29.16666666666670,26.66666666666670
98,29.16666666666670,27.142857142857200
99,28.91666666666670,26.904761904761900
100,29.083333333333300,26.66666666666670
101,29.25,26.66666666666670
102,29.083333333333300,26.66666666666670
103,28.833333333333300,26.428571428571400
104,28.833333333333300,26.66666666666670
105,29.0,26.904761904761900
106,29.0,27.619047619047600
107,29.16666666666670,27.619047619047600
108,29.0,27.380952380952400
109,29.0,27.142857142857200
110,29.25,27.142857142857200
111,29.41666666666670,26.904761904761900
112,29.25,26.428571428571400
113,29.16666666666670,26.428571428571400
114,28.91666666666670,25.952380952381000
115,29.333333333333300,26.190476190476200
116,29.25,26.190476190476200
117,29.083333333333300,26.190476190476200
118,28.91666666666670,25.71428571428570
119,29.16666666666670,25.23809523809520
120,29.083333333333300,25.23809523809520
121,28.833333333333300,25.0
122,28.91666666666670,25.0
123,29.0,25.0
124,29.0,25.0
125,29.083333333333300,25.0
126,28.75,25.0
127,28.66666666666670,25.23809523809520
128,29.083333333333300,25.23809523809520
129,29.083333333333300,25.23809523809520
130,28.833333333333300,25.47619047619050
131,28.833333333333300,25.952380952381000
132,28.833333333333300,26.428571428571400
133,29.16666666666670,26.66666666666670
134,29.16666666666670,26.66666666666670
135,29.083333333333300,26.66666666666670
136,29.5,27.142857142857200
137,29.5,27.380952380952400
138,29.5,27.619047619047600
139,29.66666666666670,27.85714285714280
140,29.583333333333300,27.619047619047600
141,29.41666666666670,27.619047619047600
142,29.083333333333300,27.380952380952400
143,29.25,27.619047619047600
144,29.41666666666670,27.619047619047600
145,29.583333333333300,28.09523809523810
146,30.0,28.571428571428600
147,29.75,29.04761904761900
148,29.75,29.52380952380950
149,29.41666666666670,29.28571428571430
150,29.25,29.52380952380950
151,28.833333333333300,29.76190476190480
152,28.5,29.76190476190480
153,28.333333333333300,29.76190476190480
154,28.25,30.23809523809520
155,28.25,30.71428571428570
156,28.5,30.71428571428570
157,28.583333333333300,30.71428571428570
158,28.75,31.428571428571400
159,28.91666666666670,31.904761904761900
160,29.083333333333300,31.904761904761900
161,29.083333333333300,31.904761904761900
162,29.083333333333300,31.428571428571400
163,29.083333333333300,31.66666666666670
164,29.0,31.66666666666670
165,29.25,31.66666666666670
166,29.66666666666670,32.14285714285710
167,29.66666666666670,31.190476190476200
168,29.5,30.71428571428570
169,29.66666666666670,30.71428571428570
170,29.16666666666670,30.952380952381000
171,29.41666666666670,30.71428571428570
172,29.75,30.23809523809520
173,30.0,29.76190476190480
174,30.16666666666670,30.47619047619050
175,30.083333333333300,30.952380952381000
176,30.0,30.47619047619050
177,30.0,30.71428571428570
