"Category","air temp","ground temp"
0,31,31.1
1300,33.8,38.6
2600,33.1,35.2
3900,30.9,31
4200,31,31.1
5500,30.1,35.1
6800,28.9,33.9
7100,30.3,35.8
8400,32.7,36.8
9700,32.1,37.9
11000,33.4,34.5
13000,33.3,34.4
15000,34.1,34.2
18000,32.4,35.3
20000,30.9,33.4
